PracticeCode,Practice name,CCGCode,ListSize,AF,AFAchievement,BPAchievement,CVD,CVDAchievement,CHD,CHDAchievemen,HF,HFAchievement,HYP,HYPAchievement,PAD,PAdAchievement
B83620,ADDINGHAM SURGERY,E38000001,2920,118,100.00,100.00,35,100.00,151,90.14,40,100.00,677,100.00,24,100.00
B83624,I G MEDICAL,E38000001,13627,414,100.00,100.00,57,100.00,524,100.00,179,100.00,2315,100.00,92,100.00
C85001,GOLDTHORPE MEDICAL CENTRE PMS PRACTICE,E38000006,4319,64,100.00,100.00,18,100.00,222,100.00,64,100.00,948,100.00,68,100.00
C85003,ASHVILLE MEDICAL CENTRE PMS PRACTICE,E38000006,10912,231,100.00,100.00,61,100.00,526,100.00,124,100.00,1896,100.00,107,100.00
C85004,PENISTONE GROUP PMS PRACTICE,E38000006,16549,364,100.00,100.00,111,100.00,704,95.23,171,97.55,2593,100.00,105,100.00
C85005,ROYSTON GROUP PRACTICE,E38000006,8069,155,100.00,100.00,27,100.00,408,96.09,66,100.00,1335,100.00,111,100.00
C85006,WOODLAND DRIVE MEDICAL CENTRE,E38000006,4906,91,100.00,100.00,68,100.00,251,100.00,56,100.00,925,100.00,97,100.00
C85007,THE DOVE VALLEY PMS PRACTICE,E38000006,11278,240,100.00,100.00,75,100.00,580,89.83,126,100.00,1780,100.00,122,93.17
C85008,HOYLAND FIRST PMS PRACTICE,E38000006,13280,215,100.00,100.00,80,100.00,614,97.11,113,100.00,2213,100.00,114,99.83
C85009,THE KAKOTY PRACTICE,E38000006,6301,52,91.38,100.00,28,100.00,190,85.60,48,99.41,687,98.15,78,96.50
C85010,HILL BROW SURGERY PMS PRACTICE,E38000006,11472,230,100.00,100.00,43,100.00,565,94.83,94,94.62,1825,100.00,150,100.00
C85013,WOMBWELL GMS PRACTICE,E38000006,9637,224,100.00,100.00,46,100.00,502,100.00,192,98.45,1385,100.00,60,96.17
C85014,THE ROSE TREE PMS PRACTICE,E38000006,8776,153,100.00,100.00,73,91.40,433,84.00,74,75.83,1462,100.00,150,89.50
C85015,ROTHERHAM ROAD MED CENTRE PMS,E38000006,4409,64,99.07,100.00,33,0.00,184,77.40,23,97.21,838,89.00,30,85.00
C85016,DR MELLOR & PARTNERS,E38000006,12121,207,100.00,99.20,72,100.00,528,90.14,80,91.38,1738,100.00,69,97.50
C85017,PARK GROVE SURGERY,E38000006,8173,165,100.00,100.00,19,100.00,425,75.31,69,100.00,1413,87.46,97,94.67
C85018,GRIMETHORPE SURGERY,E38000006,6426,133,100.00,100.00,50,40.00,297,99.34,50,100.00,1116,100.00,72,98.33
C85019,THE GROVE MEDICAL PRACTICE,E38000006,4747,93,100.00,100.00,34,100.00,201,94.31,64,100.00,946,86.23,51,95.50
C85020,HUDDERSFIELD ROAD SURGERY,E38000006,12953,264,100.00,100.00,86,100.00,593,100.00,119,100.00,2020,94.35,135,97.17
C85022,HOYLAND MEDICAL PRACTICE,E38000006,11330,196,100.00,100.00,78,100.00,553,93.40,69,100.00,1877,88.00,209,91.33
C85023,HOLLYGREEN PRACTICE,E38000006,8815,138,100.00,100.00,38,100.00,415,90.91,104,100.00,1585,100.00,55,99.83
C85024,HIGH STREET PRACTICE,E38000006,5760,128,100.00,100.00,29,0.00,303,60.06,59,100.00,789,63.19,24,95.50
C85026,APOLLO COURT MEDICAL CENTRE,E38000006,6153,122,100.00,100.00,20,100.00,340,97.06,43,100.00,994,100.00,79,100.00
C85028,LUNDWOOD MEDICAL CENTRE PMS PRACTICE,E38000006,5142,76,100.00,92.93,24,0.00,236,81.03,19,71.28,543,92.58,94,72.17
C85030,WOMBWELL MEDICAL CENTRE  PRACTICE,E38000006,9727,155,100.00,100.00,55,100.00,444,98.51,101,98.76,1325,100.00,84,97.33
C85033,VICTORIA MEDICAL CENTRE PMS PRACTICE,E38000006,9889,128,100.00,100.00,37,100.00,411,100.00,86,100.00,1168,100.00,72,100.00
C85614,DARTON HEALTH CENTRE PRACTICE,E38000006,2844,50,100.00,100.00,32,0.00,138,95.00,22,100.00,537,100.00,47,100.00
C85617,FURLONG ROAD SURGERY,E38000006,3414,34,100.00,100.00,5,100.00,160,81.91,29,100.00,520,96.42,13,92.50
C85619,ST GEORGE'S MEDICAL CENTRE PMS PRACTICE,E38000006,6416,104,100.00,90.27,44,100.00,273,88.17,43,100.00,995,87.88,72,96.83
C85622,MONK BRETTON HEALTH CENTRE PRACTICE,E38000006,2011,16,100.00,100.00,13,0.00,80,89.46,8,100.00,295,100.00,14,100.00
C85623,KINGSWELL SURGERY  PMS PRACTICE,E38000006,3450,48,100.00,100.00,13,100.00,92,100.00,11,100.00,417,100.00,8,100.00
C85624,COPE STREET SURGERY,E38000006,3082,63,97.38,100.00,22,31.10,227,69.57,35,67.14,639,77.81,38,85.67
C85628,CAXTON HOUSE SURGERY,E38000006,1075,19,100.00,100.00,7,100.00,51,100.00,9,100.00,224,100.00,10,100.00
Y00411,DEARNE VALLEY GROUP PRACTICE,E38000006,6611,104,100.00,97.67,19,100.00,279,77.09,55,98.55,959,71.08,90,90.17
Y02644,HBP SURGERY LUNDWOOD,E38000006,3595,34,100.00,100.00,8,100.00,141,100.00,20,100.00,392,100.00,33,100.00
Y02815,HIGHGATE SURGERY (HILL BROW PARTNERSHIP),E38000006,2902,33,100.00,100.00,18,100.00,103,97.60,12,99.41,378,100.00,36,100.00
Y04809,LAKESIDE SURGERY,E38000006,2213,23,95.41,100.00,15,100.00,61,99.97,13,100.00,245,97.31,14,96.50
Y05248,BRIERLEY MEDICAL CENTRE,E38000006,:,:,100.00,100.00,:,100.00,:,83.54,13,34.48,:,84.35,:,83.83
C84001,LARWOOD SURGERY,E38000008,27593,647,100.00,100.00,96,100.00,"1,068",100.00,417,100.00,4050,100.00,291,100.00
C84008,TUXFORD MEDICAL CENTRE,E38000008,4965,123,100.00,100.00,55,0.00,168,100.00,18,100.00,719,100.00,30,100.00
C84013,KINGFISHER FAMILY PRACTICE,E38000008,7324,169,100.00,100.00,52,100.00,277,96.37,85,100.00,1267,100.00,39,100.00
C84024,NEWGATE MEDICAL GROUP,E38000008,30085,583,100.00,100.00,77,100.00,"1,143",80.66,287,99.83,4043,80.96,251,87.33
C84035,CROWN HOUSE SURGERY,E38000008,11944,311,100.00,100.00,58,100.00,441,100.00,134,100.00,1868,100.00,100,100.00
C84052,THE MISTERTON GROUP PRACT,E38000008,5895,107,100.00,99.27,22,100.00,238,100.00,35,100.00,1018,100.00,26,100.00
C84094,RIVERSIDE HEALTH CENTRE,E38000008,9180,191,100.00,100.00,37,100.00,339,98.86,93,100.00,1271,100.00,76,98.83
C84101,BAWTRY AND BLYTH MEDICAL,E38000008,2671,50,100.00,100.00,31,100.00,97,99.89,20,100.00,539,100.00,17,98.83
C84692,NORTH LEVERTON SURGERY,E38000008,2768,71,100.00,100.00,7,100.00,119,93.83,27,100.00,489,100.00,35,99.00
B83005,THORNBURY MEDICAL PRACTICE,E38000019,7464,56,100.00,95.00,32,100.00,200,98.54,36,100.00,693,100.00,64,100.00
B83007,THE HEATON MEDICAL PRACTICE,E38000019,5802,72,100.00,95.73,19,100.00,157,84.37,51,100.00,771,98.12,35,92.17
B83009,SUNNYBANK MEDICAL CENTRE,E38000019,10979,156,100.00,98.33,20,100.00,386,100.00,83,100.00,1462,100.00,105,100.00
B83010,PARKLANDS MEDICAL PRACTICE,E38000019,10613,137,100.00,93.80,63,100.00,412,96.71,71,100.00,1523,100.00,98,95.83
B83011,WOODROYD MEDICAL PRACTICE,E38000019,5531,60,100.00,100.00,43,0.00,176,75.86,47,89.24,692,84.65,33,90.00
B83012,CARLTON MEDICAL PRACTICE,E38000019,5836,99,100.00,100.00,28,100.00,160,98.89,72,100.00,688,100.00,27,100.00
B83013,WESTCLIFFE MEDICAL CENTRE,E38000019,11309,207,100.00,100.00,16,100.00,339,99.77,128,100.00,1540,98.62,79,100.00
B83014,BINGLEY MEDICAL PRACTICE,E38000019,12694,236,100.00,100.00,53,100.00,407,100.00,99,100.00,1743,100.00,82,97.83
B83015,TONG MEDICAL PRACTICE,E38000019,8390,97,100.00,100.00,40,100.00,276,100.00,75,100.00,1069,100.00,73,100.00
B83017,HORTON BANK PRACTICE,E38000019,7950,99,100.00,100.00,32,100.00,298,100.00,64,100.00,1059,100.00,70,100.00
B83018,IDLE MEDICAL CENTRE,E38000019,11468,187,100.00,100.00,68,100.00,363,100.00,78,100.00,1420,100.00,87,100.00
B83020,THE WILLOWS MEDICAL CTR.,E38000019,7399,105,100.00,95.33,42,100.00,241,100.00,46,100.00,935,100.00,60,100.00
B83022,DR N DRIVER & PARTNERS,E38000019,9058,225,100.00,100.00,41,100.00,372,99.11,83,100.00,1515,100.00,81,99.67
B83028,WIBSEY & QUEENSBURY MED P,E38000019,10931,148,100.00,95.20,43,100.00,414,91.63,69,93.38,1358,88.50,81,83.00
B83029,LOW MOOR SURGERY,E38000019,9048,152,100.00,94.00,39,100.00,335,92.66,87,100.00,1509,98.04,113,86.83
B83030,THORNTON & DENHOLME MEDICAL PRACTICE,E38000019,8349,161,100.00,100.00,27,100.00,308,100.00,68,100.00,1301,100.00,74,100.00
B83031,OAK GLEN SURGERY,E38000019,3298,50,100.00,98.33,18,100.00,92,98.51,14,96.55,503,100.00,27,100.00
B83032,BRADFORD MOOR PRACTICE,E38000019,3812,38,100.00,100.00,13,100.00,135,99.86,23,100.00,414,100.00,33,93.83
B83035,HORTON PARK MEDICAL PRACTICE,E38000019,8721,84,100.00,99.80,42,100.00,221,100.00,59,100.00,874,100.00,61,95.83
B83037,THE WILSDEN MEDICAL PRACTICE,E38000019,10043,226,100.00,88.67,74,100.00,448,98.34,91,100.00,1642,100.00,88,100.00
B83038,LEYLANDS LANE MEDICAL PRACTICE,E38000019,11630,124,100.00,97.53,41,100.00,392,90.63,103,100.00,1456,99.08,85,95.67
B83039,WINDHILL GREEN MEDICAL CENTRE,E38000019,12486,251,100.00,100.00,95,100.00,468,100.00,177,100.00,1954,100.00,151,100.00
B83040,SALTAIRE MEDICAL PRACTICE,E38000019,10651,179,100.00,99.87,66,100.00,376,100.00,98,100.00,1439,100.00,59,100.00
B83041,BOWLING HALL MED PRACTICE,E38000019,7418,89,100.00,95.20,24,100.00,226,93.97,45,100.00,835,100.00,69,96.50
B83042,ROOLEY LANE MED. CENTRE,E38000019,7069,88,100.00,100.00,31,100.00,266,100.00,45,100.00,945,100.00,62,100.00
B83043,WOODROYD CENTRE - DE HAAR,E38000019,4872,31,100.00,100.00,59,100.00,99,90.74,21,100.00,487,100.00,29,97.17
B83044,DR HUTCHINGS & PARTNERS,E38000019,7242,93,100.00,100.00,70,100.00,236,100.00,65,100.00,945,100.00,84,100.00
B83045,MAYFIELD MEDICAL CENTRE,E38000019,6695,96,100.00,100.00,43,100.00,230,100.00,49,100.00,1023,100.00,43,100.00
B83049,COWGILL SURGERY,E38000019,4091,42,100.00,100.00,20,100.00,155,99.91,22,100.00,473,100.00,30,100.00
B83050,THE GRANGE PRACTICE,E38000019,7600,134,100.00,100.00,20,100.00,318,99.54,72,100.00,1072,100.00,104,100.00
B83054,DR WSG PASSANT'S PRACTICE,E38000019,4977,76,100.00,100.00,35,100.00,187,100.00,30,100.00,850,100.00,76,100.00
B83055,THE RIDGE MEDICAL PRACT.,E38000019,25492,304,100.00,87.60,110,100.00,863,100.00,167,100.00,2716,100.00,176,100.00
B83056,MOORSIDE SURGERY,E38000019,7205,151,100.00,100.00,58,100.00,318,100.00,157,100.00,1139,100.00,104,100.00
B83062,ASHCROFT SURGERY,E38000019,8603,115,100.00,95.40,46,100.00,258,96.60,67,100.00,1115,100.00,70,91.33
B83063,DR NSE HAYWARD & PARTNERS,E38000019,7989,108,100.00,100.00,51,100.00,263,99.26,73,100.00,1036,100.00,64,96.33
B83064,THE ROCKWELL AND WROSE PRACTICE,E38000019,9544,111,100.00,100.00,45,100.00,304,94.83,85,100.00,1360,99.27,89,96.00
B83067,THE SPRINGFIELD SURGERY (BINGLEY),E38000019,7166,130,100.00,100.00,32,100.00,242,98.60,45,100.00,1109,100.00,54,100.00
B83631,WOODHEAD ROAD SURGERY,E38000019,3149,5,100.00,100.00,11,100.00,102,97.51,12,100.00,296,100.00,19,100.00
B83641,ASHWELL MEDICAL CENTRE,E38000019,7922,48,100.00,100.00,22,100.00,186,100.00,50,100.00,665,100.00,31,100.00
Y01118,ECCLESHILL VILLAGE SURGERY,E38000019,3233,39,100.00,100.00,21,100.00,107,100.00,21,100.00,470,100.00,26,100.00
B84001,STATION ROAD SURGERY,E38000025,10920,163,100.00,100.00,104,100.00,452,91.69,93,100.00,1666,90.54,102,97.00
B84002,QUEENS ROAD SURGERY,E38000025,6231,40,100.00,100.00,13,100.00,187,97.40,24,100.00,504,100.00,52,100.00
B84003,RYDINGS HALL SURGERY,E38000025,8662,133,100.00,100.00,48,100.00,350,95.54,71,98.17,1391,100.00,84,100.00
B84004,HEBDEN BRIDGE GROUP PRACTICE,E38000025,18897,314,100.00,100.00,92,100.00,578,93.17,135,100.00,2421,97.42,99,97.67
B84005,ROSEGARTH SURGERY,E38000025,9915,163,100.00,99.73,63,70.00,397,99.17,65,100.00,1467,100.00,70,100.00
B84006,TODMORDEN GROUP PRACTICE,E38000025,13457,260,100.00,100.00,98,100.00,538,100.00,142,100.00,1874,100.00,159,100.00
B84007,BRIG ROYD SURGERY,E38000025,9895,127,100.00,100.00,81,100.00,266,98.57,90,100.00,1240,100.00,53,100.00
B84008,DR CHIN AND PARTNERS,E38000025,14168,276,100.00,100.00,81,100.00,590,100.00,68,100.00,2163,100.00,99,100.00
B84009,STAINLAND ROAD MEDICAL CENTRE,E38000025,11100,187,100.00,100.00,39,100.00,428,100.00,89,100.00,1452,100.00,95,100.00
B84010,KEIGHLEY ROAD SURGERY,E38000025,10388,156,100.00,100.00,48,100.00,434,97.20,86,100.00,1578,100.00,91,100.00
B84011,CHURCH LANE SURGERY,E38000025,11960,214,100.00,94.73,49,100.00,475,100.00,90,100.00,1486,100.00,118,100.00
B84012,SPRING HALL GROUP PRACTICE,E38000025,8791,141,100.00,96.13,44,70.00,289,92.34,73,100.00,1290,100.00,62,95.67
B84013,PLANE TREES GROUP PRACTICE,E38000025,8855,133,100.00,100.00,56,100.00,412,93.23,74,100.00,1406,100.00,102,100.00
B84014,RASTRICK HEALTH CENTRE,E38000025,4688,113,100.00,100.00,23,100.00,231,98.11,61,100.00,844,100.00,47,100.00
B84016,BANKFIELD SURGERY,E38000025,7959,141,100.00,100.00,26,100.00,303,99.14,54,100.00,1135,100.00,67,100.00
B84017,BURLEY STREET SURGERY,E38000025,2286,45,100.00,100.00,1,100.00,100,100.00,12,100.00,296,100.00,28,100.00
B84019,THE BOULEVARD MEDICAL PRACTICE,E38000025,8910,138,100.00,100.00,42,100.00,341,100.00,62,100.00,1325,100.00,55,100.00
B84021,KING CROSS PRACTICE,E38000025,7388,115,100.00,100.00,54,100.00,317,92.23,43,100.00,991,100.00,58,97.67
B84610,HORNE STREET SURGERY,E38000025,4074,18,100.00,100.00,36,53.30,96,95.86,15,100.00,494,100.00,14,100.00
B84612,LISTER LANE SURGERY,E38000025,7617,69,100.00,100.00,34,100.00,282,100.00,30,100.00,1007,100.00,38,100.00
B84613,BEECHWOOD MEDICAL CENTRE,E38000025,8146,105,100.00,95.80,47,100.00,296,90.40,45,93.79,942,100.00,74,94.33
B84615,SOUTHOWRAM SURGERY,E38000025,2735,31,100.00,100.00,20,100.00,102,100.00,19,100.00,392,100.00,18,99.33
B84618,CARITAS GROUP PRACTICE,E38000025,9029,121,100.00,98.47,28,100.00,341,92.86,51,100.00,1142,100.00,82,89.33
B84623,LONGROYDE SURGERY,E38000025,3997,41,100.00,100.00,28,100.00,113,96.83,16,100.00,435,100.00,25,99.33
Y02572,PARK COMMUNITY PRACTICE,E38000025,4935,27,100.00,100.00,34,100.00,110,100.00,35,100.00,449,100.00,32,100.00
Y03112,MEADOW DALE GROUP PRACTICE,E38000025,2055,13,100.00,100.00,14,100.00,59,80.57,16,100.00,216,100.00,13,97.17
B86008,ALWOODLEY MEDICAL CENTRE,E38000094,8505,153,100.00,100.00,69,100.00,275,100.00,55,100.00,1213,100.00,49,100.00
B86010,COLLINGHAM CHURCH VIEW SURGERY,E38000094,9132,234,100.00,100.00,140,100.00,329,100.00,84,100.00,1537,100.00,66,100.00
B86013,THE NORTH LEEDS MEDICAL PRACTICE,E38000094,15295,128,100.00,85.87,48,100.00,322,98.20,80,89.66,1420,100.00,57,100.00
B86019,RUTLAND LODGE MEDICAL CENTRE,E38000094,9673,98,100.00,100.00,36,100.00,240,91.14,69,100.00,968,91.23,50,90.83
B86022,OAKWOOD LANE MEDICAL PRACTICE,E38000094,12724,201,100.00,100.00,89,100.00,466,100.00,125,100.00,1855,100.00,112,100.00
B86023,THE AVENUE SURGERY,E38000094,4023,80,100.00,100.00,16,100.00,187,99.34,31,100.00,603,97.77,27,100.00
B86029,WESTGATE SURGERY,E38000094,5752,129,100.00,100.00,35,100.00,203,100.00,53,100.00,891,100.00,55,100.00
B86031,WESTFIELD MEDICAL CENTRE,E38000094,3666,16,100.00,98.00,12,100.00,74,86.23,18,100.00,389,100.00,17,95.50
B86032,CHEVIN MEDICAL PRACTICE,E38000094,11617,434,100.00,100.00,119,100.00,725,98.31,181,100.00,2947,100.00,147,100.00
B86033,NEW MEDICAL CENTRE,E38000094,11162,306,100.00,100.00,109,100.00,501,99.69,60,100.00,2061,100.00,72,100.00
B86034,SPA SURGERY,E38000094,6810,183,100.00,100.00,53,100.00,293,94.66,53,100.00,1083,78.88,61,81.17
B86039,ALLERTON MEDICAL CENTRE,E38000094,6167,92,100.00,97.87,85,100.00,198,97.89,47,100.00,900,100.00,48,100.00
B86049,WOODHOUSE MEDICAL PRACTICE,E38000094,7803,91,100.00,96.33,38,100.00,178,99.89,53,100.00,884,100.00,37,97.67
B86056,SHADWELL MEDICAL CENTRE,E38000094,5547,85,100.00,100.00,37,100.00,175,100.00,17,100.00,901,100.00,21,100.00
B86059,MEANWOOD HEALTH CENTRE,E38000094,13243,200,100.00,100.00,99,100.00,423,97.31,106,100.00,1462,93.23,115,94.50
B86066,THE STREET LANE PRACTICE,E38000094,13036,255,100.00,100.00,60,100.00,432,99.34,145,100.00,1627,100.00,59,99.17
B86070,AIREBOROUGH FAMILY PRACTICE,E38000094,4145,94,100.00,100.00,28,100.00,190,100.00,74,100.00,665,100.00,44,100.00
B86100,ST MARTINS PRACTICE,E38000094,6197,55,100.00,91.80,16,100.00,151,94.03,41,100.00,788,100.00,31,91.00
B86106,FOUNDRY LANE SURGERY,E38000094,6531,57,100.00,100.00,36,100.00,150,96.26,31,100.00,635,100.00,45,100.00
B86107,MOORCROFT SURGERY,E38000094,6034,108,100.00,100.00,21,100.00,245,84.03,33,100.00,895,90.00,30,91.17
B86108,CHAPELTOWN FAMILY SURGERY,E38000094,4810,23,100.00,100.00,22,100.00,77,92.23,26,100.00,487,93.54,17,93.33
B86625,WETHERBY SURGERY,E38000094,3718,90,94.10,100.00,40,100.00,195,87.14,28,87.69,631,94.73,45,98.17
B86651,ONE MEDICARE LLP,E38000094,1884,7,100.00,100.00,4,100.00,50,80.74,4,34.48,262,97.69,7,93.33
B86654,OAKWOOD SURGERY,E38000094,4622,51,100.00,100.00,24,100.00,125,100.00,31,100.00,489,100.00,23,100.00
B86666,NEWTON SURGERY,E38000094,4334,16,100.00,100.00,17,100.00,138,100.00,24,100.00,582,100.00,14,100.00
B86673,BRAMHAM MEDICAL CENTRE,E38000094,3621,72,100.00,100.00,38,100.00,232,93.71,31,100.00,601,100.00,40,100.00
Y02002,ONE MEDICARE LLP-THE LIGHT,E38000094,11972,9,100.00,100.00,15,0.00,16,100.00,3,100.00,174,80.54,3,100.00
B83016,FARROW MEDICAL CENTRE,E38000018,5737,64,100.00,100.00,21,100.00,186,96.37,40,100.00,695,100.00,53,100.00
B83025,LITTLE HORTON LANE MEDICAL CENTRE-MALL,E38000018,4135,22,100.00,100.00,21,100.00,104,99.06,17,100.00,436,98.46,23,96.17
B83026,PRIMROSE SURGERY,E38000018,5006,6,100.00,100.00,24,80.00,94,97.34,27,100.00,400,100.00,17,99.33
B83034,GRANGE MEDICAL CENTRE,E38000018,6267,20,100.00,100.00,38,100.00,259,71.74,50,34.48,839,84.23,72,82.67
B83051,BRADFORD STUDENT HEALTH SERVICE,E38000018,9465,1,0.00,100.00,8,0.00,5,92.00,0,0.00,53,92.69,1,100.00
B83052,KENSINGTON ST HC - WILSON,E38000018,8779,88,100.00,100.00,39,100.00,250,89.69,57,100.00,972,97.81,51,100.00
B83058,THE AVICENNA MEDICAL PRACTICE,E38000018,7062,21,100.00,100.00,35,100.00,154,85.91,27,100.00,497,94.23,21,92.17
B83069,DR BASU,E38000018,1649,6,100.00,100.00,2,0.00,52,91.51,8,100.00,171,88.00,14,80.00
B83070,MUGHAL MEDICAL CENTRE,E38000018,4014,5,100.00,100.00,27,100.00,99,92.86,20,100.00,369,100.00,21,99.33
B83604,THE LISTER SURGERY,E38000018,2661,11,100.00,100.00,6,100.00,72,100.00,25,100.00,277,100.00,6,100.00
B83611,BARKEREND HC - EL ELIWI,E38000018,2232,5,100.00,100.00,13,100.00,54,97.26,12,100.00,273,99.85,8,99.33
B83613,LCD BRADFORD AT MANNINGHAM MEDICAL CNTRE,E38000018,3624,4,100.00,100.00,24,100.00,78,100.00,12,99.41,371,100.00,20,100.00
B83614,PICTON MEDICAL CENTRE,E38000018,5319,23,100.00,100.00,8,100.00,128,100.00,39,100.00,437,100.00,16,97.17
B83617,DR U AKBAR,E38000018,1876,9,100.00,100.00,6,100.00,56,96.46,18,100.00,207,100.00,5,100.00
B83621,DR A AZAM & PARTNERS,E38000018,3415,13,100.00,100.00,12,0.00,97,92.34,23,100.00,293,85.08,13,95.00
B83622,DR IA GILKAR & PARTNERS,E38000018,5253,24,100.00,100.00,9,100.00,99,90.63,19,100.00,459,100.00,27,96.00
B83626,VALLEY VIEW SURGERY,E38000018,6414,22,100.00,100.00,17,100.00,130,95.17,27,99.41,483,89.58,17,100.00
B83627,FRIZINGHALL MEDICAL CENTRE,E38000018,3529,25,100.00,96.13,14,86.70,101,89.77,17,100.00,362,80.19,15,90.00
B83628,ALICE STREET SURGERY,E38000018,4423,15,100.00,100.00,9,100.00,96,99.77,13,96.55,380,100.00,15,100.00
B83629,PEEL PARK SURGERY,E38000018,2671,15,100.00,100.00,17,100.00,87,100.00,11,100.00,433,95.73,17,98.33
B83638,LCD BRADFORD,E38000018,4420,26,100.00,100.00,21,100.00,71,99.57,26,100.00,351,100.00,30,95.50
B83642,WHETLEY MEDICAL CENTRE,E38000018,2313,4,100.00,100.00,11,100.00,67,98.91,20,100.00,279,100.00,10,91.83
B83653,DR GILKAR,E38000018,7969,21,100.00,100.00,13,100.00,172,96.89,33,100.00,543,100.00,32,96.50
B83657,BEVAN HEALTHCARE CIC,E38000018,3003,5,100.00,100.00,0,0.00,25,53.23,3,13.79,100,69.23,8,57.83
B83659,PARK GRANGE MEDICAL CENTRE,E38000018,2530,9,100.00,100.00,13,100.00,77,100.00,19,100.00,336,100.00,32,98.00
B83660,BILTON MEDICAL CENTRE,E38000018,5159,16,100.00,97.20,25,100.00,130,88.80,21,100.00,401,86.35,29,100.00
B83661,MOOR PARK MEDICAL PRACTICE,E38000018,2916,16,100.00,100.00,12,100.00,66,100.00,14,100.00,361,100.00,20,100.00
C86001,CARCROFT DOCTORS GROUP,E38000044,10692,230,100.00,99.60,48,100.00,485,91.34,132,100.00,1554,100.00,170,90.17
C86002,THE RANSOME PRACTICE,E38000044,6133,120,100.00,100.00,26,100.00,234,100.00,43,100.00,1015,100.00,64,100.00
C86003,HATFIELD HEALTH CENTRE,E38000044,9527,196,100.00,100.00,28,100.00,445,100.00,98,100.00,1532,100.00,63,100.00
C86005,MEXBOROUGH HEALTH CENTRE,E38000044,5898,145,100.00,100.00,39,100.00,275,100.00,71,100.00,1033,100.00,73,100.00
C86006,REGENT SQUARE GROUP PRACTICE,E38000044,9633,170,100.00,100.00,40,100.00,341,100.00,91,100.00,1355,100.00,65,100.00
C86007,DR P O'HORAN AND PARTNERS,E38000044,10207,207,100.00,100.00,131,100.00,412,100.00,94,100.00,1707,100.00,62,100.00
C86009,THE MAYFLOWER MEDICAL PRACTICE,E38000044,8229,213,100.00,85.53,38,100.00,321,100.00,92,100.00,1352,100.00,74,100.00
C86011,MOUNT GROUP PRACTICE,E38000044,12670,210,100.00,100.00,55,100.00,473,100.00,115,100.00,1882,100.00,113,100.00
C86012,THE OAKWOOD SURGERY,E38000044,5274,132,100.00,100.00,42,100.00,193,100.00,48,100.00,812,100.00,49,100.00
C86013,THE TICKHILL & COLLIERY MEDICAL PRACTICE,E38000044,9238,247,100.00,92.07,51,100.00,465,89.37,131,89.59,1876,92.46,78,95.50
C86014,PRINCESS MEDICAL CENTRE,E38000044,6400,103,100.00,100.00,53,100.00,210,100.00,50,100.00,951,100.00,47,100.00
C86015,THE ROSSINGTON PRACTICE,E38000044,7917,156,100.00,97.27,49,100.00,348,92.03,97,100.00,1344,91.85,67,90.00
C86016,THE LAKESIDE PRACTICE,E38000044,7470,161,100.00,100.00,38,100.00,285,100.00,68,100.00,1248,100.00,64,100.00
C86017,KINGTHORNE GROUP PRACTICE,E38000044,9837,191,100.00,100.00,55,100.00,374,100.00,92,100.00,1548,100.00,54,100.00
C86018,NORTHFIELD SURGERY,E38000044,10591,174,100.00,100.00,105,100.00,495,100.00,96,96.55,1554,100.00,87,100.00
