"row_id","itemid","label","fluid","category","loinc_code"
"46",591,51391,"CD11c","Other Body Fluid","Hematology","51232-7"
"47",592,51392,"CD13","Other Body Fluid","Hematology","51238-4"
"48",593,51393,"CD138","Other Body Fluid","Hematology","42871-4"
"49",594,51394,"CD14","Other Body Fluid","Hematology","51248-3"
"50",595,51395,"CD15","Other Body Fluid","Hematology","51252-5"
"51",596,51396,"CD16","Other Body Fluid","Hematology",NA
"52",597,51397,"CD16/56","Other Body Fluid","Hematology","18268-3"
"53",598,51398,"CD19","Other Body Fluid","Hematology","17829-3"
"54",599,51399,"CD2","Other Body Fluid","Hematology","17827-7"
"55",600,51400,"CD20","Other Body Fluid","Hematology","57418-6"
"56",601,51401,"CD22","Other Body Fluid","Hematology","42875-5"
"57",602,51402,"CD23","Other Body Fluid","Hematology","51269-9"
"58",603,51403,"CD25","Other Body Fluid","Hematology",NA
"59",604,51404,"CD3","Other Body Fluid","Hematology","17826-9"
"60",605,51405,"CD33","Other Body Fluid","Hematology","51294-7"
"61",606,51406,"CD34","Other Body Fluid","Hematology",NA
"62",607,51407,"CD38","Other Body Fluid","Hematology","51299-6"
"63",608,51408,"CD4","Other Body Fluid","Hematology","17822-8"
"64",609,51409,"CD4/CD8 Ratio","Other Body Fluid","Hematology","18266-7"
"65",610,51410,"CD41","Other Body Fluid","Hematology","51320-0"
"66",611,51411,"CD45","Other Body Fluid","Hematology","17823-6"
"67",612,51412,"CD5","Other Body Fluid","Hematology","57423-6"
"68",613,51413,"CD56","Other Body Fluid","Hematology","57424-4"
"69",614,51414,"CD57","Other Body Fluid","Hematology",NA
"70",615,51415,"CD64","Other Body Fluid","Hematology","51366-3"
"71",616,51416,"CD7","Other Body Fluid","Hematology","57425-1"
"72",617,51417,"CD71","Other Body Fluid","Hematology","57426-9"
"73",618,51418,"CD8","Other Body Fluid","Hematology","17824-4"
"74",619,51419,"Eosinophils","Other Body Fluid","Hematology","26452-3"
"75",620,51420,"FMC-7","Other Body Fluid","Hematology","57428-5"
"76",621,51421,"Glyco A","Other Body Fluid","Hematology","57430-1"
"77",622,51422,"Hematocrit, Other Fluid","Other Body Fluid","Hematology","11153-4"
"78",623,51423,"HLA-DR","Other Body Fluid","Hematology","51381-2"
"79",624,51424,"Immunophenotyping","Other Body Fluid","Hematology",NA
"80",625,51425,"Kappa","Other Body Fluid","Hematology",NA
"81",626,51426,"Lambda","Other Body Fluid","Hematology",NA
"82",627,51427,"Lymphocytes","Other Body Fluid","Hematology","11031-2"
"83",628,51428,"Macrophage","Other Body Fluid","Hematology","12230-9"
"84",629,51429,"Mesothelial cells","Other Body Fluid","Hematology","28544-5"
"85",630,51430,"Metamyelocytes","Other Body Fluid","Hematology","17801-2"
"86",631,51431,"Monos","Other Body Fluid","Hematology","10330-9"
"87",632,51432,"Myelocytes","Other Body Fluid","Hematology","17800-4"
"88",633,51433,"NRBC","Other Body Fluid","Hematology",NA
"89",634,51434,"Other Cell","Other Body Fluid","Hematology",NA
"90",635,51435,"Plasma","Other Body Fluid","Hematology","17803-8"
"91",636,51436,"Polys","Other Body Fluid","Hematology","26518-1"
"92",637,51437,"Promyelocytes","Other Body Fluid","Hematology","17799-8"
"93",638,51438,"RBC, Other Fluid","Other Body Fluid","Hematology","26455-6"
"94",639,51439,"WBC, Other Fluid","Other Body Fluid","Hematology","26466-3"
"95",640,51440,"Atypical Lymphocytes","Pleural","Hematology","33370-8"
"96",641,51441,"Bands","Pleural","Hematology",NA
"97",642,51442,"Basophils","Pleural","Hematology","35070-2"
"98",643,51443,"Blasts","Pleural","Hematology",NA
"99",644,51444,"Eosinophils","Pleural","Hematology","30379-2"
"100",645,51445,"Hematocrit, Pleural","Pleural","Hematology",NA
"101",646,51446,"Lymphocytes","Pleural","Hematology","26481-2"
"102",647,51447,"Macrophages","Pleural","Hematology","40520-9"
"103",648,51448,"Mesothelial Cells","Pleural","Hematology","30431-1"
"104",649,51449,"Metamyelocytes","Pleural","Hematology",NA
"105",650,51450,"Monos","Pleural","Hematology","33362-5"
"106",651,51451,"Myelocytes","Pleural","Hematology",NA
"107",652,51452,"NRBC","Pleural","Hematology",NA
"108",653,51453,"Other","Pleural","Hematology",NA
"109",654,51454,"Plasma Cells","Pleural","Hematology","40522-5"
"110",655,51455,"Polys","Pleural","Hematology","26519-9"
"111",656,51456,"Promyelocytes","Pleural","Hematology",NA
"112",657,51457,"RBC, Pleural","Pleural","Hematology","26456-4"
"113",658,51458,"WBC, Pleural","Pleural","Hematology","26467-1"
"114",659,51459,"Young Cells","Pleural","Hematology",NA
"115",660,51460,"Blood, Occult","Stool","Hematology","2335-8"
"116",661,51461,"Ammonium Biurate","Urine","Hematology","12454-5"
"117",662,51462,"Amorphous Crystals","Urine","Hematology","8246-1"
"118",663,51463,"Bacteria","Urine","Hematology","5769-5"
"119",664,51464,"Bilirubin","Urine","Hematology","5770-3"
"120",665,51465,"Bilirubin Crystals","Urine","Hematology","5771-1"
"121",666,51466,"Blood","Urine","Hematology","5794-3"
"122",667,51467,"Broad Casts","Urine","Hematology","18487-9"
"123",668,51468,"Calcium Carbonate Crystals","Urine","Hematology","5773-7"
"124",669,51469,"Calcium Oxalate Crystals","Urine","Hematology","5774-5"
"125",670,51470,"Calcium Phosphate Crystals","Urine","Hematology","5775-2"
"126",671,51471,"Cellular Cast","Urine","Hematology",NA
"127",672,51472,"Cholesterol Crystals","Urine","Hematology","5777-8"
"128",1,50800,"SPECIMEN TYPE","BLOOD","BLOOD GAS",NA
"129",2,50801,"Alveolar-arterial Gradient","Blood","Blood Gas","19991-9"
"130",3,50802,"Base Excess","Blood","Blood Gas","11555-0"
"131",4,50803,"Calculated Bicarbonate, Whole Blood","Blood","Blood Gas","1959-6"
"132",5,50804,"Calculated Total CO2","Blood","Blood Gas","34728-6"
"133",6,50805,"Carboxyhemoglobin","Blood","Blood Gas","20563-3"
"134",7,50806,"Chloride, Whole Blood","Blood","Blood Gas","2069-3"
"135",8,50807,"Comments","Blood","Blood Gas",NA
"136",9,50808,"Free Calcium","Blood","Blood Gas","1994-3"
"137",10,50809,"Glucose","Blood","Blood Gas","2339-0"
"138",11,50810,"Hematocrit, Calculated","Blood","Blood Gas","20570-8"
"139",12,50811,"Hemoglobin","Blood","Blood Gas","718-7"
"140",13,50812,"Intubated","Blood","Blood Gas",NA
"141",14,50813,"Lactate","Blood","Blood Gas","32693-4"
"142",15,50814,"Methemoglobin","Blood","Blood Gas","2614-6"
"143",16,50815,"O2 Flow","Blood","Blood Gas","3151-8"
"144",17,50816,"Oxygen","Blood","Blood Gas","19994-3"
"145",18,50817,"Oxygen Saturation","Blood","Blood Gas","20564-1"
"146",19,50818,"pCO2","Blood","Blood Gas","11557-6"
"147",20,50819,"PEEP","Blood","Blood Gas","20077-4"
"148",21,50820,"pH","Blood","Blood Gas","11558-4"
"149",22,50821,"pO2","Blood","Blood Gas","11556-8"
"150",23,50822,"Potassium, Whole Blood","Blood","Blood Gas","6298-4"
"151",24,50823,"Required O2","Blood","Blood Gas",NA
"152",25,50824,"Sodium, Whole Blood","Blood","Blood Gas","2947-0"
"153",26,50825,"Temperature","Blood","Blood Gas",NA
"154",27,50826,"Tidal Volume","Blood","Blood Gas","20112-9"
"155",28,50827,"Ventilation Rate","Blood","Blood Gas",NA
"156",29,50828,"Ventilator","Blood","Blood Gas",NA
"157",30,50829,"Fluid Type","Other Body Fluid","Blood Gas","14725-6"
"158",31,50830,"pCO2, Body Fluid","Other Body Fluid","Blood Gas","2023-0"
"159",32,50831,"pH","Other Body Fluid","Blood Gas","2748-2"
"160",33,50832,"pO2, Body Fluid","Other Body Fluid","Blood Gas","2706-0"
"161",34,50833,"Potassium","Other Body Fluid","Blood Gas","2821-7"
"162",35,50834,"Sodium, Body Fluid","Other Body Fluid","Blood Gas","2950-4"
"163",36,50835,"Albumin, Ascites","Ascites","Chemistry","1749-1"
"164",37,50836,"Amylase, Ascites","Ascites","Chemistry","1797-0"
"165",38,50837,"Bicarbonate, Ascites","Ascites","Chemistry","54360-3"
"166",39,50838,"Bilirubin, Total, Ascites","Ascites","Chemistry","14422-0"
"167",40,50839,"Chloride, Ascites","Ascites","Chemistry","33366-6"
"168",41,50840,"Cholesterol, Ascites","Ascites","Chemistry","14441-0"
"169",42,50841,"Creatinine, Ascites","Ascites","Chemistry","12191-3"
"170",43,50842,"Glucose, Ascites","Ascites","Chemistry","2347-3"
"171",44,50843,"Lactate Dehydrogenase, Ascites","Ascites","Chemistry","2531-2"
"172",45,50844,"Lipase, Ascites","Ascites","Chemistry","32722-1"
"173",46,50845,"Miscellaneous, Ascites","Ascites","Chemistry",NA
"174",47,50846,"Osmolality, Ascites","Ascites","Chemistry","2691-4"
"175",48,50847,"Potassium, Ascites","Ascites","Chemistry","49789-1"
"176",49,50848,"Sodium, Ascites","Ascites","Chemistry","49790-9"
"177",50,50849,"Total Protein, Ascites","Ascites","Chemistry","2883-7"
"178",51,50850,"Triglycerides, Ascites","Ascites","Chemistry","14447-7"
"179",52,50851,"Urea Nitrogen, Ascites","Ascites","Chemistry","12265-5"
"180",53,50852,"% Hemoglobin A1c","Blood","Chemistry","4548-4"
"181",54,50853,"25-OH Vitamin D","Blood","Chemistry",NA
"182",55,50854,"Absolute A1c","Blood","Chemistry","4548-4"
"183",56,50855,"Absolute Hemoglobin","Blood","Chemistry","718-7"
"184",57,50856,"Acetaminophen","Blood","Chemistry","3297-9"
"185",58,50857,"Acetone","Blood","Chemistry","5567-3"
"186",59,50858,"Acid Phosphatase","Blood","Chemistry","1715-2"
"187",60,50859,"Acid Phosphatase, Non-Prostatic","Blood","Chemistry",NA
"188",61,50860,"AFP, Maternal Screen","Blood","Chemistry",NA
"189",62,50861,"Alanine Aminotransferase (ALT)","Blood","Chemistry","1742-6"
"190",63,50862,"Albumin","Blood","Chemistry","1751-7"
"191",64,50863,"Alkaline Phosphatase","Blood","Chemistry","6768-6"
"192",65,50864,"Alpha-Fetoprotein","Blood","Chemistry","1834-1"
"193",66,50865,"Amikacin","Blood","Chemistry",NA
"194",67,50866,"Ammonia","Blood","Chemistry","16362-6"
"195",68,50867,"Amylase","Blood","Chemistry","1798-8"
"196",69,50868,"Anion Gap","Blood","Chemistry","1863-0"
"197",70,50869,"Anti-DGP (IgA/IgG)","Blood","Chemistry",NA
"198",71,50870,"Anti-Gliadin Antibody, IgA","Blood","Chemistry","7893-1"
"199",72,50871,"Anti-Mitochondrial Antibody","Blood","Chemistry","14236-4"
"200",378,51178,"CD34","Blood","Hematology","8125-7"
"201",73,50872,"Anti-Neutrophil Cytoplasmic Antibody","Blood","Chemistry","35279-9"
"202",74,50873,"Anti-Nuclear Antibody","Blood","Chemistry","5047-6"
"203",75,50874,"Anti-Nuclear Antibody, Titer","Blood","Chemistry","8061-4"
"204",76,50875,"Anti-Parietal Cell Antibody","Blood","Chemistry","26969-6"
"205",77,50876,"Anti-Smooth Muscle Antibody","Blood","Chemistry","14252-1"
"206",78,50877,"Anti-Thyroglobulin Antibodies","Blood","Chemistry","5380-1"
"207",79,50878,"Asparate Aminotransferase (AST)","Blood","Chemistry","1920-8"
"208",80,50879,"Barbiturate Screen","Blood","Chemistry","3376-1"
"209",81,50880,"Benzodiazepine Screen","Blood","Chemistry","42662-7"
"210",82,50881,"Beta-2 Microglobulin","Blood","Chemistry","32731-2"
"211",83,50882,"Bicarbonate","Blood","Chemistry","1963-8"
"212",84,50883,"Bilirubin, Direct","Blood","Chemistry","1968-7"
"213",85,50884,"Bilirubin, Indirect","Blood","Chemistry","1971-1"
"214",86,50885,"Bilirubin, Total","Blood","Chemistry","1975-2"
"215",87,50886,"Blood Culture Hold","Blood","Chemistry",NA
"216",88,50887,"Blue Top Hold","Blood","Chemistry",NA
"217",89,50888,"Blue Top Hold Frozen","Blood","Chemistry",NA
"218",90,50889,"C-Reactive Protein","Blood","Chemistry","1988-5"
"219",91,50890,"C3","Blood","Chemistry","4485-9"
"220",92,50891,"C4","Blood","Chemistry","4498-2"
"221",93,50892,"CA-125","Blood","Chemistry","10334-1"
"222",94,50893,"Calcium, Total","Blood","Chemistry","2000-8"
"223",95,50894,"Calculated Free Testosterone","Blood","Chemistry","2991-8"
"224",96,50895,"Calculated TBG","Blood","Chemistry","3027-0"
"225",97,50896,"Calculated Thyroxine (T4) Index","Blood","Chemistry","32215-6"
"226",98,50897,"Call","Blood","Chemistry",NA
"227",99,50898,"Cancer Antigen 27.29","Blood","Chemistry","17842-6"
"228",100,50899,"Carbamazepine","Blood","Chemistry","3432-2"
"229",101,50900,"Carcinoembyronic Antigen (CEA)","Blood","Chemistry","2039-6"
"230",102,50901,"Centromere","Blood","Chemistry","16570-4"
"231",103,50902,"Chloride","Blood","Chemistry","2075-0"
"232",104,50903,"Cholesterol Ratio (Total/HDL)","Blood","Chemistry","9322-9"
"233",105,50904,"Cholesterol, HDL","Blood","Chemistry","2085-9"
"234",106,50905,"Cholesterol, LDL, Calculated","Blood","Chemistry","2090-9"
"235",107,50906,"Cholesterol, LDL, Measured","Blood","Chemistry","18262-6"
"236",108,50907,"Cholesterol, Total","Blood","Chemistry","2093-3"
"237",109,50908,"CK-MB Index","Blood","Chemistry","20569-0"
"238",110,50909,"Cortisol","Blood","Chemistry","2143-6"
"239",111,50910,"Creatine Kinase (CK)","Blood","Chemistry","2157-6"
"240",112,50911,"Creatine Kinase, MB Isoenzyme","Blood","Chemistry","6773-6"
"241",113,50912,"Creatinine","Blood","Chemistry","2160-0"
"242",114,50913,"Cryoglobulin","Blood","Chemistry","5117-7"
"243",115,50914,"Cyclosporin","Blood","Chemistry","3521-2"
"244",116,50915,"D-Dimer","Blood","Chemistry",NA
"245",117,50916,"DHEA-Sulfate","Blood","Chemistry","2191-5"
"246",118,50917,"Digoxin","Blood","Chemistry","10535-3"
"247",119,50918,"Double Stranded DNA","Blood","Chemistry","5130-0"
"248",120,50919,"EDTA Hold","Blood","Chemistry",NA
"249",121,50920,"Estimated GFR (MDRD equation)","Blood","Chemistry","33914-3"
"250",122,50921,"Estradiol","Blood","Chemistry","2243-4"
"251",123,50922,"Ethanol","Blood","Chemistry","5642-4"
"252",124,50923,"Fax","Blood","Chemistry",NA
"253",125,50924,"Ferritin","Blood","Chemistry","2276-4"
"254",126,50925,"Folate","Blood","Chemistry","2284-8"
"255",127,50926,"Follicle Stimulating Hormone","Blood","Chemistry","15067-2"
"256",128,50927,"Gamma Glutamyltransferase","Blood","Chemistry","2324-2"
"257",129,50928,"Gastrin","Blood","Chemistry","2333-3"
"258",130,50929,"Gentamicin","Blood","Chemistry","35668-3"
"259",131,50930,"Globulin","Blood","Chemistry","2336-6"
"260",132,50931,"Glucose","Blood","Chemistry","2345-7"
"261",133,50932,"Gray Top Hold (plasma)","Blood","Chemistry",NA
"262",134,50933,"Green Top Hold (plasma)","Blood","Chemistry",NA
"263",135,50934,"H","Blood","Chemistry",NA
"264",136,50935,"Haptoglobin","Blood","Chemistry","4542-7"
"265",137,50936,"HCG, Maternal Screen","Blood","Chemistry",NA
"266",138,50937,"Hepatitis A Virus Antibody","Blood","Chemistry","5183-9"
"267",139,50938,"Hepatitis A Virus IgM Antibody","Blood","Chemistry","22314-9"
"268",140,50939,"Hepatitis B Core Antibody, IgM","Blood","Chemistry","31204-1"
"269",141,50940,"Hepatitis B Surface Antibody","Blood","Chemistry","5193-8"
"270",142,50941,"Hepatitis B Surface Antigen","Blood","Chemistry","5196-1"
"271",143,50942,"Hepatitis B Virus Core Antibody","Blood","Chemistry","5187-0"
"272",144,50943,"Hepatitis C Virus Antibody","Blood","Chemistry","16128-1"
"273",145,50944,"HIV Antibody","Blood","Chemistry","5220-9"
"274",146,50945,"Homocysteine","Blood","Chemistry","13965-9"
"275",147,50946,"Human Chorionic Gonadotropin","Blood","Chemistry","2119-6"
"276",148,50947,"I","Blood","Chemistry",NA
"277",149,50948,"Immunofixation","Blood","Chemistry","49275-1"
"278",150,50949,"Immunoglobulin A","Blood","Chemistry","2458-8"
"279",151,50950,"Immunoglobulin G","Blood","Chemistry","2465-3"
"280",152,50951,"Immunoglobulin M","Blood","Chemistry","2472-9"
"281",153,50952,"Iron","Blood","Chemistry","2498-4"
"282",154,50953,"Iron Binding Capacity, Total","Blood","Chemistry","2500-7"
"283",155,50954,"Lactate Dehydrogenase (LD)","Blood","Chemistry","2532-0"
"284",156,50955,"Light Green Top Hold","Blood","Chemistry",NA
"285",157,50956,"Lipase","Blood","Chemistry","3040-3"
"286",158,50957,"Lithium","Blood","Chemistry","3719-2"
"287",159,50958,"Luteinizing Hormone","Blood","Chemistry","1599-0"
"288",160,50959,"Macro Prolactin","Blood","Chemistry",NA
"289",161,50960,"Magnesium","Blood","Chemistry","2601-3"
"290",162,50961,"Methotrexate","Blood","Chemistry",NA
"291",163,50962,"N-Acetylprocainamide (NAPA)","Blood","Chemistry","3834-9"
"292",164,50963,"NTproBNP","Blood","Chemistry","33762-6"
"293",165,50964,"Osmolality, Measured","Blood","Chemistry","2692-2"
"294",166,50965,"Parathyroid Hormone","Blood","Chemistry","2731-8"
"295",167,50966,"Phenobarbital","Blood","Chemistry","3947-9"
"296",168,50967,"Phenytoin","Blood","Chemistry","3967-7"
"297",169,50968,"Phenytoin, Free","Blood","Chemistry","3969-3"
"298",170,50969,"Phenytoin, Percent Free","Blood","Chemistry","10548-6"
"299",171,50970,"Phosphate","Blood","Chemistry","2777-1"
"300",172,50971,"Potassium","Blood","Chemistry","2823-3"
"301",173,50972,"Procainamide","Blood","Chemistry","3982-6"
"302",174,50973,"Prolactin","Blood","Chemistry","2842-3"
"303",379,51179,"CD38","Blood","Hematology","8126-5"
"304",175,50974,"Prostate Specific Antigen","Blood","Chemistry","2857-1"
"305",176,50975,"Protein Electrophoresis","Blood","Chemistry","24351-9"
"306",177,50976,"Protein, Total","Blood","Chemistry","2885-2"
"307",178,50977,"Quinidine","Blood","Chemistry","6694-4"
"308",179,50978,"Rapamycin","Blood","Chemistry","29247-4"
"309",180,50979,"Red Top Hold","Blood","Chemistry",NA
"310",181,50980,"Rheumatoid Factor","Blood","Chemistry","6928-6"
"311",182,50981,"Salicylate","Blood","Chemistry","4023-8"
"312",183,50982,"Sex Hormone Binding Globulin","Blood","Chemistry","2942-1"
"313",184,50983,"Sodium","Blood","Chemistry","2951-2"
"314",185,50984,"Stat","Blood","Chemistry",NA
"315",186,50985,"Study Tubes","Blood","Chemistry",NA
"316",187,50986,"tacroFK","Blood","Chemistry",NA
"317",188,50988,"Testosterone","Blood","Chemistry","2986-8"
"318",189,50989,"Testosterone, Free","Blood","Chemistry","2991-8"
"319",190,50990,"Theophylline","Blood","Chemistry","4049-3"
"320",191,50991,"Thyroglobulin","Blood","Chemistry","3013-0"
"321",192,50992,"Thyroid Peroxidase Antibodies","Blood","Chemistry","8099-4"
"322",193,50993,"Thyroid Stimulating Hormone","Blood","Chemistry","3016-3"
"323",194,50994,"Thyroxine (T4)","Blood","Chemistry","3026-2"
"324",195,50995,"Thyroxine (T4), Free","Blood","Chemistry","3024-7"
"325",196,50996,"Tissue Transglutaminase Ab, IgA","Blood","Chemistry","31017-7"
"326",197,50997,"Tobramycin","Blood","Chemistry","35670-9"
"327",198,50998,"Transferrin","Blood","Chemistry","2500-7"
"328",199,50999,"Tricyclic Antidepressant Screen","Blood","Chemistry","4073-3"
"329",200,51000,"Triglycerides","Blood","Chemistry","1644-4"
"330",201,51001,"Triiodothyronine (T3)","Blood","Chemistry","3053-6"
"331",202,51002,"Troponin I","Blood","Chemistry","10839-9"
"332",203,51003,"Troponin T","Blood","Chemistry","6598-7"
"333",204,51004,"UE3, Maternal Screen","Blood","Chemistry",NA
"334",205,51005,"Uptake Ratio","Blood","Chemistry","3050-2"
"335",206,51006,"Urea Nitrogen","Blood","Chemistry","3094-0"
"336",207,51007,"Uric Acid","Blood","Chemistry","3084-1"
"337",208,51008,"Valproic Acid","Blood","Chemistry","4086-5"
"338",209,51009,"Vancomycin","Blood","Chemistry","20578-1"
"339",210,51010,"Vitamin B12","Blood","Chemistry","2170-9"
"340",211,51011,"<Albumin>","Cerebrospinal Fluid (CSF)","Chemistry","1746-7"
"341",212,51012,"Bilirubin, Total, CSF","Cerebrospinal Fluid (CSF)","Chemistry","1973-7"
"342",213,51013,"Chloride, CSF","Cerebrospinal Fluid (CSF)","Chemistry",NA
"343",214,51014,"Glucose, CSF","Cerebrospinal Fluid (CSF)","Chemistry","2342-4"
"344",215,51015,"Lactate Dehydrogenase, CSF","Cerebrospinal Fluid (CSF)","Chemistry","2528-8"
"345",216,51016,"Miscellaneous, CSF","Cerebrospinal Fluid (CSF)","Chemistry",NA
"346",217,51017,"PEP, CSF","Cerebrospinal Fluid (CSF)","Chemistry","24352-7"
"347",218,51018,"Total Protein, CSF","Cerebrospinal Fluid (CSF)","Chemistry","2880-3"
"348",219,51019,"Albumin, Joint Fluid","Joint Fluid","Chemistry",NA
"349",220,51020,"Amylase, Joint Fluid","Joint Fluid","Chemistry","14388-3"
"350",221,51021,"Creatinine, Joint Fluid","Joint Fluid","Chemistry","14401-4"
"351",222,51022,"Glucose, Joint Fluid","Joint Fluid","Chemistry","2348-1"
"352",223,51023,"LD, Joint Fluid","Joint Fluid","Chemistry","2533-8"
"353",224,51024,"Total Protein, Joint Fluid","Joint Fluid","Chemistry","2886-0"
"354",225,51025,"Albumin, Body Fluid","Other Body Fluid","Chemistry","1747-5"
"355",226,51026,"Amylase, Body Fluid","Other Body Fluid","Chemistry","1795-4"
"356",227,51027,"Bicarbonate, Other Fluid","Other Body Fluid","Chemistry","11211-0"
"357",228,51028,"Bilirubin, Total, Body Fluid","Other Body Fluid","Chemistry","1974-5"
"358",229,51029,"Calcium, Body Fluid","Other Body Fluid","Chemistry","15155-5"
"359",230,51030,"Chloride, Body Fluid","Other Body Fluid","Chemistry","2072-7"
"360",231,51031,"Cholesterol, Body Fluid","Other Body Fluid","Chemistry","12183-0"
"361",232,51032,"Creatinine, Body Fluid","Other Body Fluid","Chemistry","12190-5"
"362",233,51033,"FetalFN","Other Body Fluid","Chemistry",NA
"363",234,51034,"Glucose, Body Fluid","Other Body Fluid","Chemistry","2344-0"
"364",235,51035,"LD, Body Fluid","Other Body Fluid","Chemistry","2529-6"
"365",236,51036,"Lipase, Body Fluid","Other Body Fluid","Chemistry","15212-4"
"366",237,51037,"Magnesium, Body Fluid","Other Body Fluid","Chemistry","29365-4"
"367",238,51038,"Miscellaneous, Body Fluid","Other Body Fluid","Chemistry",NA
"368",239,51039,"Osmolality, Body Fluid","Other Body Fluid","Chemistry","15200-9"
"369",240,51040,"Phosphate, Body Fluid","Other Body Fluid","Chemistry","12242-4"
"370",241,51041,"Potassium, Body Fluid","Other Body Fluid","Chemistry","2821-7"
"371",242,51042,"Sodium, Body Fluid","Other Body Fluid","Chemistry","2950-4"
"372",243,51043,"Total Protein, Body Fluid","Other Body Fluid","Chemistry","2881-1"
"373",244,51044,"Triglycer","Other Body Fluid","Chemistry","12228-3"
"374",245,51045,"Urea Nitrogen, Body Fluid","Other Body Fluid","Chemistry","3093-2"
"375",246,51046,"Albumin, Pleural","Pleural","Chemistry","1748-3"
"376",247,51047,"Amylase, Pleural","Pleural","Chemistry","1796-2"
"377",248,51048,"Bicarbonate, Pleural","Pleural","Chemistry","54361-1"
"378",249,51049,"Bilirubin, Total, Pleural","Pleural","Chemistry","14421-2"
"379",250,51050,"Chloride, Pleural","Pleural","Chemistry","53627-6"
"380",251,51051,"Cholesterol, Pleural","Pleural","Chemistry","9618-0"
"381",252,51052,"Creatinine, Pleural","Pleural","Chemistry","14399-0"
"382",253,51053,"Glucose, Pleural","Pleural","Chemistry","2346-5"
"383",254,51054,"Lactate Dehydrogenase, Pleural","Pleural","Chemistry","2530-4"
"384",255,51055,"Lipase, Pleural","Pleural","Chemistry",NA
"385",256,51056,"Miscellaneous, Pleural","Pleural","Chemistry",NA
"386",257,51057,"Potassium, Pleural","Pleural","Chemistry",NA
"387",258,51058,"Sodium, Pleural","Pleural","Chemistry",NA
"388",259,51059,"Total Protein, Pleural","Pleural","Chemistry","2882-9"
"389",260,51060,"Triglycerides, Pleural","Pleural","Chemistry","9619-8"
